state,avg_completion,non_completion,lat,lon
Johor,97.73,2.27,1.4854,103.7618
Kedah,97.46,2.54,6.1184,100.3685
Kelantan,99.35,0.65,5.791,102.2587
Melaka,98.72,1.28,2.1896,102.2501
Negeri Sembilan,98.27,1.73,2.7258,101.9424
Pahang,97.02,2.98,3.8126,103.3256
Perak,97.18,2.82,4.5921,101.0901
Perlis,95.95,4.05,6.444,100.2048
Pulau Pinang,97.04,2.96,5.4164,100.3327
Sabah,95.35,4.65,5.978,116.0753
Sarawak,96.18,3.82,1.5533,110.3592
Selangor,99.26,0.74,3.0738,101.5183
Terengganu,99.44,0.56,5.3117,103.1324
Wilayah Persekutuan Kuala Lumpur,96.77,3.23,3.139,101.6869
Wilayah Persekutuan Labuan,95.1,4.9,5.3,115.25
Wilayah Persekutuan Putrajaya,103.63,-3.63,2.9264,101.6964
